"mission","launch_date","launch_hour","launch_spots","control_avg","control_std","pct_change","z_score"
"Sentinel-6B","2025-11-17",5,97285,62185,5659,56.4,6.2
"NROL-87","2022-02-02",20,123982,96521,9583,28.5,2.87
"SPHEREx/PUNCH","2025-03-12",3,134456,85232,23149,57.8,2.13
"NROL-57","2025-03-21",6,249796,176868,53174,41.2,1.37
"Starlink Group 2-4","2023-01-19",15,261451,238607,16700,9.6,1.37
"SARah-1","2022-06-18",14,169063,154211,20599,9.6,0.72
"NROL-113","2024-09-06",3,215256,198545,24778,8.4,0.67
"Transporter-10","2024-03-04",22,138574,136878,11122,1.2,0.15
"Transporter-13","2025-03-15",6,138993,177579,65583,-21.7,-0.59
"Transporter-8","2023-06-12",21,175713,198766,23352,-11.6,-0.99
"Transporter-9","2023-11-11",18,163185,189418,9947,-13.8,-2.64
"NROL-167","2024-10-24",17,260033,294972,12755,-11.8,-2.74
